palavra,num
be,33
dc,1
he,1
am,2
if,2
an,4
as,20
of,99
at,5
go,9
in,22
by,8
is,23
we,30
jr,1
no,3
on,5
it,6
or,1
so,4
to,59
up,4
my,5
us,4
bad,1
had,1
can,4
and,54
end,2
ago,1
are,8
all,7
god,1
red,1
off,2
has,5
see,1
day,12
old,1
her,1
men,6
the,104
one,13
hew,1
his,3
let,13
for,9
cup,1
new,5
was,2
but,6
say,2
who,4
nor,1
tis,1
sit,1
its,3
yes,1
not,13
low,1
now,6
own,1
our,17
out,3
you,8
face,1
back,9
able,8
died,1
lead,1
came,2
made,3
been,2
bank,1
make,3
gain,1
fall,1
cash,2
land,4
jail,2
high,1
life,2
heat,2
dark,1
free,5
real,1
here,3
come,10
have,18
like,2
take,1
thee,2
tied,1
hold,1
seek,1
heir,1
hill,2
king,1
five,1
left,1
give,1
hope,4
gods,3
path,1
even,2
walk,2
rock,1
lift,1
time,5
also,1
ring,12
live,2
rude,1
long,6
join,3
sing,3
lord,1
that,24
drug,1
when,7
rise,3
were,1
last,3
some,3
blow,1
from,18
well,1
what,1
skin,1
many,1
note,3
warm,1
pass,1
weve,3
lips,1
this,20
down,4
will,27
jews,1
city,1
into,4
they,3
pray,1
four,1
with,16
boys,2
vote,2
rest,1
vast,1
true,2
only,2
upon,1
sons,2
work,2
soul,1
york,2
spot,1
turn,1
must,8
your,1
ahead,1
black,4
check,5
again,2
basic,1
creed,1
deeds,1
place,1
ocean,1
fatal,1
leads,1
dream,12
march,1
faith,5
areas,1
shake,1
hands,2
alone,1
force,2
plane,1
speed,1
flesh,1
cells,1
which,5
great,5
pride,1
plain,1
shall,5
finds,1
thank,1
civil,1
exile,1
equal,1
fresh,1
bound,1
there,6
later,4
light,1
these,1
given,1
steam,1
night,1
stand,3
slave,1
where,3
solid,1
negro,13
hills,1
their,8
score,1
heavy,1
sadly,1
right,1
sense,1
oasis,1
allow,2
color,2
never,3
funds,2
girls,2
state,3
white,6
midst,1
today,9
happy,1
those,2
lives,1
signs,1
years,5
rough,1
winds,1
whose,1
sweet,1
still,4
stone,2
usual,1
would,2
every,10
rolls,1
until,4
glory,1
words,3
wrote,1
quest,2
south,2
slums,1
needed,1
palace,1
engage,1
beacon,1
decree,1
tabela,1
demand,1
become,1
racial,2
robbed,1
fierce,1
pledge,1
sacred,1
judged,1
marked,1
seared,1
bodies,1
chains,1
places,2
hatred,1
flames,1
signed,1
hamlet,1
island,1
police,2
having,1
larger,1
asking,1
riches,1
remind,1
bright,1
cities,2
